date,home_team,away_team,home_goals,away_goals,competition,season
2020-03-07,Dortmund,Mainz,0,0,BL1,2019
2020-03-10,Stuttgart,Dortmund,3,0,BL1,2019
2020-03-13,Koeln,Bayern,2,2,BL1,2019
2020-03-16,Leverkusen,Augsburg,6,1,BL1,2019
2020-03-19,Koeln,Augsburg,4,2,BL1,2019
2020-03-22,Stuttgart,Gladbach,1,2,BL1,2019
2020-03-25,Leipzig,Hertha,1,2,BL1,2019
2020-03-28,Bochum,Dortmund,1,2,BL1,2019
2020-03-31,Augsburg,Bochum,1,1,BL1,2019
2020-04-03,Schalke,Wolfsburg,0,0,BL1,2019
2020-04-06,Stuttgart,Koeln,2,1,BL1,2019
2020-04-09,Dortmund,Koeln,0,1,BL1,2019
2020-04-12,Leverkusen,Hertha,0,0,BL1,2019
2020-04-15,Freiburg,Schalke,0,0,BL1,2019
2020-04-18,Bochum,Freiburg,0,1,BL1,2019
2020-04-21,Hertha,Augsburg,0,0,BL1,2019
2020-04-24,Frankfurt,Koeln,2,1,BL1,2019
2020-04-27,Frankfurt,Bayern,0,0,BL1,2019
2020-04-30,Bremen,Augsburg,0,0,BL1,2019
2020-05-03,Union Berlin,Bochum,0,0,BL1,2019
2020-05-06,Bayern,Bochum,4,1,BL1,2019
2020-05-09,Leverkusen,Hoffenheim,1,1,BL1,2019
2020-05-12,Wolfsburg,Frankfurt,3,0,BL1,2019
2020-05-15,Bremen,Koeln,0,0,BL1,2019
2020-05-18,Bochum,Schalke,2,3,BL1,2019
2020-05-21,Leverkusen,Mainz,4,0,BL1,2019
2020-05-24,Bremen,Hertha,1,1,BL1,2019
2020-05-27,Mainz,Koeln,1,0,BL1,2019
2020-05-30,Bayern,Union Berlin,0,0,BL1,2019
2020-06-02,Hoffenheim,Stuttgart,0,0,BL1,2019
2020-06-05,Hamburg,Leverkusen,2,0,BL1,2019
2020-06-08,Bochum,Bayern,0,1,BL1,2019
2020-06-11,Wolfsburg,Bremen,0,0,BL1,2019
2020-06-14,Leverkusen,Koeln,0,0,BL1,2019
2020-06-17,Frankfurt,Hannover,1,0,BL1,2019
2020-06-20,Leverkusen,Hamburg,1,0,BL1,2019
2020-06-23,Bayern,Mainz,1,0,BL1,2019
2020-06-26,Mainz,Wolfsburg,0,0,BL1,2019
2020-06-29,Dortmund,Hannover,0,1,BL1,2019
2020-07-02,Bremen,Dortmund,0,1,BL1,2019
2020-07-05,Bremen,Stuttgart,1,0,BL1,2019
2020-07-08,Hoffenheim,Leipzig,0,0,BL1,2019
2020-07-11,Koeln,Hannover,1,7,BL1,2019
2020-07-14,Bochum,Mainz,0,1,BL1,2019
2020-07-17,Hamburg,Frankfurt,3,2,BL1,2019
2020-07-20,Hannover,Bochum,1,5,BL1,2019
2020-07-23,Frankfurt,Hamburg,0,0,BL1,2019
2020-07-26,Frankfurt,Stuttgart,0,0,BL1,2019
2020-07-29,Augsburg,Hamburg,1,1,BL1,2019
2020-08-01,Schalke,Hoffenheim,0,1,BL1,2019
2020-08-04,Schalke,Koeln,2,0,BL1,2019
2020-08-07,Freiburg,Hoffenheim,2,1,BL1,2019
2020-08-10,Wolfsburg,Freiburg,0,3,BL1,2019
2020-08-13,Hoffenheim,Frankfurt,3,0,BL1,2019
2020-08-16,Hoffenheim,Freiburg,0,0,BL1,2019
2020-08-19,Stuttgart,Wolfsburg,2,6,BL1,2019
2020-08-22,Gladbach,Schalke,0,2,BL1,2019
2020-08-25,Stuttgart,Bayern,0,2,BL1,2019
2020-08-28,Wolfsburg,Leipzig,2,0,BL1,2019
2020-08-31,Bremen,Wolfsburg,1,3,BL1,2019
2020-09-03,Mainz,Hoffenheim,1,0,BL1,2019
2020-09-06,Koeln,Dortmund,5,1,BL1,2019
2020-09-09,Hoffenheim,Mainz,0,0,BL1,2019
2020-09-12,Freiburg,Augsburg,1,0,BL1,2019
2020-09-15,Hoffenheim,Augsburg,0,2,BL1,2019
2020-09-18,Augsburg,Leipzig,2,0,BL1,2019
2020-09-21,Bochum,Hamburg,6,2,BL1,2019
2020-09-24,Hannover,Freiburg,1,2,BL1,2019
2020-09-27,Hamburg,Union Berlin,1,1,BL1,2019
2020-09-30,Bayern,Frankfurt,6,0,BL1,2019
2020-10-03,Hoffenheim,Union Berlin,1,0,BL1,2019
2020-10-06,Bayern,Koeln,1,0,BL1,2019
2020-10-09,Koeln,Bochum,1,0,BL1,2019
2020-10-12,Bochum,Hannover,3,1,BL1,2019
2020-10-15,Wolfsburg,Hannover,0,2,BL1,2019
2020-10-18,Dortmund,Bayern,0,1,BL1,2019
2020-10-21,Mainz,Frankfurt,1,0,BL1,2019
2020-10-24,Freiburg,Frankfurt,0,3,BL1,2019
2020-10-27,Bochum,Wolfsburg,0,0,BL1,2019
2020-10-30,Hertha,Freiburg,2,0,BL1,2019
2020-11-02,Hertha,Leverkusen,2,1,BL1,2019
2020-11-05,Hamburg,Mainz,0,0,BL1,2019
2020-11-08,Freiburg,Bayern,7,0,BL1,2019
2020-11-11,Hertha,Hoffenheim,1,0,BL1,2019
2020-11-14,Mainz,Hannover,2,1,BL1,2019
2020-11-17,Hannover,Union Berlin,1,0,BL1,2019
2020-11-20,Gladbach,Bochum,3,0,BL1,2019
2020-11-23,Dortmund,Hoffenheim,0,1,BL1,2019
2020-11-26,Augsburg,Bremen,0,0,BL1,2019
2020-11-29,Wolfsburg,Hoffenheim,1,0,BL1,2019
2020-12-02,Augsburg,Bayern,0,2,BL1,2019
2020-12-05,Dortmund,Union Berlin,0,1,BL1,2019
2020-12-08,Bayern,Stuttgart,0,0,BL1,2019
2020-12-11,Hamburg,Leipzig,0,0,BL1,2019
2020-12-14,Wolfsburg,Bochum,0,1,BL1,2019
2020-12-17,Bochum,Koeln,2,0,BL1,2019
2020-12-20,Frankfurt,Gladbach,0,1,BL1,2019
2020-12-23,Hannover,Bremen,1,3,BL1,2019
2020-12-26,Mainz,Hamburg,1,0,BL1,2019
2020-12-29,Gladbach,Frankfurt,0,0,BL1,2019
2021-01-01,Leipzig,Bochum,0,0,BL1,2019
2021-01-04,Wolfsburg,Augsburg,0,0,BL1,2019
2021-01-07,Stuttgart,Augsburg,0,4,BL1,2019
2021-01-10,Leverkusen,Freiburg,1,2,BL1,2019
2021-01-13,Bremen,Bayern,0,3,BL1,2019
2021-01-16,Union Berlin,Gladbach,0,3,BL1,2019
2021-01-19,Union Berlin,Stuttgart,1,1,BL1,2019
2021-01-22,Hertha,Mainz,0,0,BL1,2019
2021-01-25,Gladbach,Bremen,0,2,BL1,2019
2021-01-28,Bochum,Bremen,1,1,BL1,2019
2021-01-31,Koeln,Frankfurt,0,0,BL1,2019
2021-02-03,Bochum,Leipzig,1,0,BL1,2019
2021-02-06,Gladbach,Hamburg,0,1,BL1,2019
2021-02-09,Leverkusen,Frankfurt,0,7,BL1,2019
2021-02-12,Freiburg,Hamburg,0,3,BL1,2019
2021-02-15,Bochum,Hoffenheim,1,1,BL1,2019
2021-02-18,Frankfurt,Hoffenheim,0,0,BL1,2019
2021-02-21,Bayern,Hoffenheim,1,0,BL1,2019
2021-02-24,Hannover,Dortmund,2,4,BL1,2019
2021-02-27,Stuttgart,Hamburg,0,2,BL1,2019
2021-03-02,Bayern,Hertha,1,1,BL1,2019
2021-03-05,Hannover,Frankfurt,3,0,BL1,2019
2021-03-08,Schalke,Bremen,0,1,BL1,2019
2021-03-11,Bayern,Hannover,0,0,BL1,2019
2021-03-14,Stuttgart,Leipzig,0,0,BL1,2019
2021-03-17,Gladbach,Leverkusen,1,1,BL1,2019
2021-03-20,Augsburg,Hoffenheim,0,0,BL1,2019
2021-03-23,Stuttgart,Bochum,2,2,BL1,2019
2021-03-26,Union Berlin,Hoffenheim,0,1,BL1,2019
2021-03-29,Stuttgart,Freiburg,5,3,BL1,2019
2021-04-01,Stuttgart,Bremen,2,1,BL1,2019
2021-04-04,Frankfurt,Bochum,6,0,BL1,2019
2021-04-07,Hamburg,Bremen,1,1,BL1,2019
2021-04-10,Schalke,Frankfurt,4,3,BL1,2019
2021-04-13,Hamburg,Hannover,0,0,BL1,2019
2021-04-16,Dortmund,Bremen,0,1,BL1,2019
2021-04-19,Freiburg,Dortmund,2,0,BL1,2019
2021-04-22,Freiburg,Hannover,0,1,BL1,2019
2021-04-25,Gladbach,Hoffenheim,2,2,BL1,2019
2021-04-28,Wolfsburg,Bayern,1,1,BL1,2019
2021-05-01,Hertha,Gladbach,0,0,BL1,2019
2021-05-04,Hoffenheim,Bayern,0,0,BL1,2019
2021-05-07,Wolfsburg,Mainz,0,0,BL1,2019
2021-05-10,Hannover,Koeln,3,2,BL1,2019
2021-05-13,Hoffenheim,Bremen,0,3,BL1,2019
2021-05-16,Hamburg,Dortmund,7,1,BL1,2019
2021-05-19,Hannover,Wolfsburg,0,0,BL1,2019
2021-05-22,Hamburg,Freiburg,3,1,BL1,2019
2021-05-25,Hamburg,Schalke,2,4,BL1,2019
2021-05-28,Hertha,Hannover,0,0,BL1,2019
2021-05-31,Koeln,Schalke,1,1,BL1,2019
2021-06-03,Hertha,Frankfurt,0,0,BL1,2019
2021-06-06,Mainz,Leverkusen,0,1,BL1,2019
2021-06-09,Bochum,Gladbach,3,0,BL1,2019
2021-06-12,Gladbach,Hannover,2,0,BL1,2019
2021-06-15,Leverkusen,Bochum,4,2,BL1,2019
2021-06-18,Leipzig,Wolfsburg,1,1,BL1,2019
2021-06-21,Union Berlin,Mainz,0,0,BL1,2019
2021-06-24,Freiburg,Mainz,7,0,BL1,2019
2021-06-27,Mainz,Schalke,1,7,BL1,2019
2021-06-30,Bremen,Leverkusen,1,1,BL1,2019
2021-07-03,Stuttgart,Hannover,1,0,BL1,2019
2021-07-06,Augsburg,Freiburg,0,3,BL1,2019
2021-07-09,Gladbach,Stuttgart,1,2,BL1,2019
2021-07-12,Schalke,Bayern,0,1,BL1,2019
2021-07-15,Bayern,Hamburg,5,1,BL1,2019
2021-07-18,Augsburg,Hannover,1,0,BL1,2019
2021-07-21,Freiburg,Bochum,7,1,BL1,2019
2021-07-24,Hoffenheim,Schalke,0,0,BL1,2019
2021-07-27,Dortmund,Leverkusen,0,1,BL1,2019
2021-07-30,Dortmund,Leipzig,0,6,BL1,2019
2021-08-02,Union Berlin,Koeln,2,0,BL1,2019
2021-08-05,Koeln,Leipzig,0,2,BL1,2019
2021-08-08,Bremen,Hamburg,0,2,BL1,2019
2021-08-11,Bayern,Gladbach,1,0,BL1,2019
2021-08-14,Leverkusen,Wolfsburg,2,7,BL1,2019
2021-08-17,Koeln,Gladbach,0,1,BL1,2019
2021-08-20,Augsburg,Schalke,0,4,BL1,2019
2021-08-23,Bochum,Leverkusen,1,2,BL1,2019
2021-08-26,Bochum,Hertha,3,0,BL1,2019
2021-08-29,Frankfurt,Schalke,3,0,BL1,2019
2021-09-01,Bremen,Hoffenheim,2,0,BL1,2019
2021-09-04,Hertha,Stuttgart,2,0,BL1,2019
2021-09-07,Bayern,Wolfsburg,0,1,BL1,2019
2021-09-10,Schalke,Leverkusen,7,0,BL1,2019
2021-09-13,Mainz,Stuttgart,0,1,BL1,2019
2021-09-16,Bayern,Dortmund,0,0,BL1,2019
2021-09-19,Frankfurt,Union Berlin,1,0,BL1,2019
2021-09-22,Augsburg,Dortmund,0,0,BL1,2019
2021-09-25,Gladbach,Hertha,2,1,BL1,2019
2021-09-28,Wolfsburg,Union Berlin,0,1,BL1,2019
2021-10-01,Koeln,Hamburg,0,2,BL1,2019
2021-10-04,Mainz,Bayern,2,3,BL1,2019
2021-10-07,Leipzig,Schalke,0,1,BL1,2019
2021-10-10,Koeln,Bremen,2,3,BL1,2019
2021-10-13,Frankfurt,Hertha,1,0,BL1,2019
2021-10-16,Koeln,Hoffenheim,0,0,BL1,2019
2021-10-19,Gladbach,Koeln,3,2,BL1,2019
2021-10-22,Bayern,Leipzig,1,1,BL1,2019
2021-10-25,Schalke,Hamburg,1,2,BL1,2019
2021-10-28,Frankfurt,Wolfsburg,1,2,BL1,2019
2021-10-31,Bochum,Stuttgart,0,1,BL1,2019
2021-11-03,Hamburg,Stuttgart,7,0,BL1,2019
2021-11-06,Leverkusen,Bayern,1,1,BL1,2019
2021-11-09,Hannover,Gladbach,2,3,BL1,2019
2021-11-12,Schalke,Augsburg,3,0,BL1,2019
2021-11-15,Hannover,Bayern,0,2,BL1,2019
2021-11-18,Leverkusen,Dortmund,2,2,BL1,2019
2021-11-21,Bayern,Freiburg,0,0,BL1,2019
2021-11-24,Freiburg,Gladbach,2,4,BL1,2019
2021-11-27,Stuttgart,Frankfurt,7,2,BL1,2019
2021-11-30,Bremen,Bochum,0,0,BL1,2019
2021-12-03,Augsburg,Wolfsburg,1,3,BL1,2019
2021-12-06,Augsburg,Union Berlin,0,1,BL1,2019
2021-12-09,Dortmund,Stuttgart,2,0,BL1,2019
2021-12-12,Hannover,Hertha,1,0,BL1,2019
2021-12-15,Hannover,Hamburg,0,0,BL1,2019
2021-12-18,Frankfurt,Leipzig,1,1,BL1,2019
2021-12-21,Leipzig,Hannover,2,0,BL1,2019
2021-12-24,Dortmund,Freiburg,0,4,BL1,2019
2021-12-27,Leipzig,Hoffenheim,1,0,BL1,2019
2021-12-30,Koeln,Wolfsburg,3,0,BL1,2019
2022-01-02,Koeln,Stuttgart,0,0,BL1,2019
2022-01-05,Leverkusen,Stuttgart,0,0,BL1,2019
2022-01-08,Hertha,Schalke,2,4,BL1,2019
2022-01-11,Hamburg,Bochum,2,0,BL1,2019
2022-01-14,Augsburg,Gladbach,0,0,BL1,2019
2022-01-17,Bochum,Augsburg,1,1,BL1,2019
2022-01-20,Union Berlin,Dortmund,0,0,BL1,2019
2022-01-23,Stuttgart,Hoffenheim,3,0,BL1,2019
2022-01-26,Gladbach,Leipzig,0,0,BL1,2019
2022-01-29,Freiburg,Koeln,0,1,BL1,2019
2022-02-01,Leverkusen,Gladbach,1,7,BL1,2019
2022-02-04,Hannover,Leverkusen,0,4,BL1,2019
2022-02-07,Leverkusen,Schalke,1,0,BL1,2019
2022-02-10,Bremen,Freiburg,0,2,BL1,2019
2022-02-13,Augsburg,Koeln,1,0,BL1,2019
2022-02-16,Koeln,Mainz,1,1,BL1,2019
2022-02-19,Schalke,Union Berlin,4,0,BL1,2019
2022-02-22,Hertha,Bochum,2,1,BL1,2019
2022-02-25,Gladbach,Wolfsburg,0,1,BL1,2019
2022-02-28,Wolfsburg,Stuttgart,2,2,BL1,2019
2022-03-03,Dortmund,Gladbach,1,1,BL1,2019
2022-03-06,Union Berlin,Frankfurt,2,1,BL1,2019
2022-03-09,Augsburg,Hertha,3,1,BL1,2019
2022-03-12,Mainz,Augsburg,0,0,BL1,2019
2022-03-15,Bayern,Schalke,1,2,BL1,2019
2022-03-18,Freiburg,Leverkusen,0,0,BL1,2019
2022-03-21,Dortmund,Augsburg,1,0,BL1,2019
2022-03-24,Mainz,Gladbach,0,1,BL1,2019
2022-03-27,Wolfsburg,Hamburg,7,1,BL1,2019
2022-03-30,Gladbach,Bayern,4,3,BL1,2019
2022-04-02,Union Berlin,Wolfsburg,0,3,BL1,2019
2022-04-05,Hamburg,Bayern,1,3,BL1,2019
2022-04-08,Bremen,Mainz,1,0,BL1,2019
2022-04-11,Schalke,Stuttgart,0,6,BL1,2019
2022-04-14,Freiburg,Bremen,0,3,BL1,2019
2022-04-17,Stuttgart,Union Berlin,4,1,BL1,2019
2022-04-20,Frankfurt,Bremen,7,3,BL1,2019
2022-04-23,Schalke,Hertha,3,0,BL1,2019
2022-04-26,Hertha,Union Berlin,2,0,BL1,2019
2022-04-29,Dortmund,Hamburg,0,1,BL1,2019
2022-05-02,Schalke,Mainz,2,1,BL1,2019
2022-05-05,Union Berlin,Leverkusen,1,2,BL1,2019
2022-05-08,Wolfsburg,Koeln,5,0,BL1,2019
2022-05-11,Hoffenheim,Bochum,0,0,BL1,2019
2022-05-14,Hoffenheim,Hannover,2,0,BL1,2019
2022-05-17,Frankfurt,Mainz,5,0,BL1,2019
2022-05-20,Hoffenheim,Hertha,0,2,BL1,2019
2022-05-23,Schalke,Leipzig,4,0,BL1,2019
2022-05-26,Bremen,Frankfurt,0,0,BL1,2019
2022-05-29,Hannover,Stuttgart,3,0,BL1,2019
2022-06-01,Hannover,Mainz,0,0,BL1,2019
2022-06-04,Leipzig,Stuttgart,3,0,BL1,2019
2022-06-07,Freiburg,Wolfsburg,1,2,BL1,2019
2022-06-10,Hamburg,Hertha,3,3,BL1,2019
2022-06-13,Union Berlin,Hertha,0,1,BL1,2019
2022-06-16,Freiburg,Leipzig,0,0,BL1,2019
2022-06-19,Schalke,Gladbach,0,1,BL1,2019
2022-06-22,Dortmund,Wolfsburg,0,5,BL1,2019
2022-06-25,Dortmund,Schalke,0,0,BL1,2019
2022-06-28,Wolfsburg,Leverkusen,1,3,BL1,2019
2022-07-01,Gladbach,Augsburg,3,0,BL1,2019
2022-07-04,Hoffenheim,Gladbach,1,1,BL1,2019
2022-07-07,Hertha,Bremen,5,0,BL1,2019
2022-07-10,Hertha,Hamburg,0,0,BL1,2019
2022-07-13,Union Berlin,Hamburg,0,4,BL1,2019
2022-07-16,Stuttgart,Schalke,1,1,BL1,2019
2022-07-19,Leipzig,Leverkusen,1,1,BL1,2019
2022-07-22,Augsburg,Leverkusen,0,1,BL1,2019
2022-07-25,Leverkusen,Union Berlin,0,0,BL1,2019
2022-07-28,Stuttgart,Mainz,1,0,BL1,2019
2022-07-31,Bremen,Union Berlin,1,0,BL1,2019
2022-08-03,Dortmund,Frankfurt,0,4,BL1,2019
2022-08-06,Union Berlin,Leipzig,0,0,BL1,2019
2022-08-09,Hertha,Wolfsburg,3,0,BL1,2019
2022-08-12,Hoffenheim,Wolfsburg,2,0,BL1,2019
2022-08-15,Hoffenheim,Koeln,0,0,BL1,2019
2022-08-18,Leipzig,Bremen,0,1,BL1,2019
2022-08-21,Augsburg,Frankfurt,0,0,BL1,2019
2022-08-24,Leipzig,Augsburg,2,0,BL1,2019
2022-08-27,Leipzig,Gladbach,0,0,BL1,2019
2022-08-30,Hoffenheim,Dortmund,0,1,BL1,2019
2022-09-02,Wolfsburg,Hertha,1,1,BL1,2019
2022-09-05,Frankfurt,Leverkusen,1,1,BL1,2019
2022-09-08,Union Berlin,Augsburg,0,0,BL1,2019
2022-09-11,Hoffenheim,Leverkusen,0,3,BL1,2019
2022-09-14,Bochum,Union Berlin,0,1,BL1,2019
2022-09-17,Hamburg,Gladbach,4,1,BL1,2019
2022-09-20,Frankfurt,Freiburg,1,7,BL1,2019
2022-09-23,Stuttgart,Leverkusen,2,1,BL1,2020
2022-09-26,Bremen,Koeln,0,0,BL1,2020
2022-09-29,Leipzig,Leverkusen,5,1,BL1,2020
2022-10-02,Schalke,Frankfurt,4,0,BL1,2020
2022-10-05,Hertha,Bayern,1,1,BL1,2020
2022-10-08,Mainz,Bochum,1,2,BL1,2020
2022-10-11,Bayern,Dortmund,3,0,BL1,2020
2022-10-14,Bremen,Wolfsburg,0,0,BL1,2020
2022-10-17,Stuttgart,Augsburg,0,1,BL1,2020
2022-10-20,Mainz,Frankfurt,3,0,BL1,2020
2022-10-23,Bochum,Gladbach,1,0,BL1,2020
2022-10-26,Leverkusen,Bremen,3,1,BL1,2020
2022-10-29,Union Berlin,Wolfsburg,0,0,BL1,2020
2022-11-01,Union Berlin,Koeln,0,0,BL1,2020
2022-11-04,Frankfurt,Hamburg,1,1,BL1,2020
2022-11-07,Hamburg,Schalke,4,0,BL1,2020
2022-11-10,Freiburg,Hertha,5,2,BL1,2020
2022-11-13,Frankfurt,Freiburg,4,5,BL1,2020
2022-11-16,Stuttgart,Leipzig,1,0,BL1,2020
2022-11-19,Mainz,Wolfsburg,0,0,BL1,2020
2022-11-22,Bayern,Schalke,0,0,BL1,2020
2022-11-25,Stuttgart,Koeln,0,0,BL1,2020
2022-11-28,Hoffenheim,Union Berlin,1,0,BL1,2020
2022-12-01,Bayern,Leverkusen,0,0,BL1,2020
2022-12-04,Schalke,Hannover,4,0,BL1,2020
2022-12-07,Bremen,Union Berlin,1,1,BL1,2020
2022-12-10,Freiburg,Mainz,1,1,BL1,2020
2022-12-13,Bremen,Bochum,2,0,BL1,2020
2022-12-16,Stuttgart,Union Berlin,0,0,BL1,2020
2022-12-19,Schalke,Wolfsburg,5,1,BL1,2020
2022-12-22,Hertha,Freiburg,0,3,BL1,2020
2022-12-25,Koeln,Freiburg,0,0,BL1,2020
2022-12-28,Hoffenheim,Freiburg,0,2,BL1,2020
2022-12-31,Gladbach,Freiburg,1,0,BL1,2020
2023-01-03,Wolfsburg,Leverkusen,3,0,BL1,2020
2023-01-06,Leverkusen,Wolfsburg,1,1,BL1,2020
2023-01-09,Bochum,Freiburg,1,2,BL1,2020
2023-01-12,Dortmund,Wolfsburg,0,0,BL1,2020
2023-01-15,Union Berlin,Hertha,0,1,BL1,2020
2023-01-18,Bremen,Hoffenheim,0,1,BL1,2020
2023-01-21,Hamburg,Wolfsburg,1,0,BL1,2020
2023-01-24,Hertha,Mainz,4,1,BL1,2020
2023-01-27,Leipzig,Stuttgart,2,1,BL1,2020
2023-01-30,Dortmund,Leverkusen,0,2,BL1,2020
2023-02-02,Hamburg,Hannover,0,0,BL1,2020
2023-02-05,Wolfsburg,Freiburg,0,3,BL1,2020
2023-02-08,Schalke,Bayern,0,0,BL1,2020
2023-02-11,Wolfsburg,Koeln,0,1,BL1,2020
2023-02-14,Hoffenheim,Dortmund,0,0,BL1,2020
2023-02-17,Schalke,Stuttgart,2,0,BL1,2020
2023-02-20,Union Berlin,Frankfurt,0,0,BL1,2020
2023-02-23,Koeln,Wolfsburg,1,3,BL1,2020
2023-02-26,Koeln,Augsburg,1,5,BL1,2020
2023-03-01,Bochum,Bayern,1,0,BL1,2020
2023-03-04,Hertha,Hamburg,0,2,BL1,2020
2023-03-07,Wolfsburg,Frankfurt,6,0,BL1,2020
2023-03-10,Bremen,Bayern,0,2,BL1,2020
2023-03-13,Frankfurt,Bremen,4,0,BL1,2020
2023-03-16,Augsburg,Schalke,0,0,BL1,2020
2023-03-19,Freiburg,Wolfsburg,4,1,BL1,2020
2023-03-22,Leverkusen,Union Berlin,0,1,BL1,2020
2023-03-25,Union Berlin,Schalke,0,3,BL1,2020
2023-03-28,Hannover,Union Berlin,0,1,BL1,2020
2023-03-31,Koeln,Bayern,0,3,BL1,2020
2023-04-03,Wolfsburg,Bayern,1,0,BL1,2020
2023-04-06,Dortmund,Stuttgart,0,5,BL1,2020
2023-04-09,Union Berlin,Bayern,0,0,BL1,2020
2023-04-12,Hannover,Wolfsburg,1,0,BL1,2020
2023-04-15,Bayern,Koeln,3,0,BL1,2020
2023-04-18,Leverkusen,Gladbach,0,0,BL1,2020
2023-04-21,Bayern,Hoffenheim,1,5,BL1,2020
2023-04-24,Leipzig,Wolfsburg,0,0,BL1,2020
2023-04-27,Bayern,Union Berlin,0,0,BL1,2020
2023-04-30,Frankfurt,Hertha,0,0,BL1,2020
2023-05-03,Bochum,Schalke,2,0,BL1,2020
2023-05-06,Augsburg,Stuttgart,0,1,BL1,2020
2023-05-09,Hertha,Augsburg,1,3,BL1,2020
2023-05-12,Freiburg,Hoffenheim,2,0,BL1,2020
2023-05-15,Stuttgart,Freiburg,2,3,BL1,2020
2023-05-18,Mainz,Hertha,0,1,BL1,2020
2023-05-21,Hannover,Leipzig,0,0,BL1,2020
2023-05-24,Hertha,Schalke,1,0,BL1,2020
2023-05-27,Leverkusen,Bochum,0,3,BL1,2020
2023-05-30,Frankfurt,Hoffenheim,2,0,BL1,2020
